Heuristic;Sudoku #;Seed;Solution Found;Runtime;# Splits;# Backtracks;# Positive assignments;# Negative assignments;Positive to negative assignments ratio;# Clauses learned;# Clauses at start;# Variables at start;# Initial filled;# Clauses before loop ;# Variables before loop;# Variables assigned before loop
5_ Our min len JW one sided;1;1;Yes;0.1446695327758789;41;39;6284;8677;0.7242134378241327;36699;12010;729;22;1952;472;493
5_ Our min len JW one sided;1;2;Yes;0.07285475730895996;17;12;3030;4172;0.7262703739213806;21144;12010;729;22;1952;472;493
5_ Our min len JW one sided;1;3;Yes;0.031941890716552734;1;0;317;1002;0.31636726546906185;14781;12010;729;22;1952;472;493
5_ Our min len JW one sided;1;4;Yes;0.03195023536682129;1;0;317;1002;0.31636726546906185;14781;12010;729;22;1952;472;493
5_ Our min len JW one sided;1;5;Yes;0.10776066780090332;30;29;5084;7180;0.7080779944289693;33333;12010;729;22;1952;472;493
5_ Our min len JW one sided;2;1;Yes;0.04747200012207031;9;4;1438;2367;0.6075200675961132;17988;12011;729;23;1692;410;524
5_ Our min len JW one sided;2;2;Yes;0.05687141418457031;12;9;1901;3055;0.6222585924713584;20918;12011;729;23;1692;410;524
5_ Our min len JW one sided;2;3;Yes;0.058294057846069336;13;9;1695;2743;0.6179365658038644;19309;12011;729;23;1692;410;524
5_ Our min len JW one sided;2;4;Yes;0.05178403854370117;9;6;1453;2493;0.5828319294023265;19359;12011;729;23;1692;410;524
5_ Our min len JW one sided;2;5;Yes;0.05178999900817871;13;8;1590;2621;0.6066386875238459;18797;12011;729;23;1692;410;524
5_ Our min len JW one sided;3;1;Yes;0.0641946792602539;14;11;2559;3813;0.6711250983477577;23116;12010;729;22;1596;410;524
5_ Our min len JW one sided;3;2;Yes;0.0520627498626709;7;4;1180;2021;0.5838693715982187;17132;12010;729;22;1596;410;524
5_ Our min len JW one sided;3;3;Yes;0.07449197769165039;17;16;3075;4527;0.6792577866136514;25975;12010;729;22;1596;410;524
5_ Our min len JW one sided;3;4;Yes;0.042654991149902344;4;3;816;1621;0.5033929673041333;16545;12010;729;22;1596;410;524
5_ Our min len JW one sided;3;5;Yes;0.08304858207702637;19;18;3410;5053;0.6748466257668712;28343;12010;729;22;1596;410;524
5_ Our min len JW one sided;4;1;Yes;0.07299160957336426;17;12;3415;4934;0.6921361978111066;25585;12011;729;23;1744;456;501
5_ Our min len JW one sided;4;2;Yes;0.07336163520812988;11;8;2648;4151;0.6379185738376295;25777;12011;729;23;1744;456;501
5_ Our min len JW one sided;4;3;Yes;0.044936418533325195;4;0;959;1626;0.5897908979089791;14711;12011;729;23;1744;456;501
5_ Our min len JW one sided;4;4;Yes;0.04390430450439453;4;0;958;1625;0.5895384615384616;14711;12011;729;23;1744;456;501
5_ Our min len JW one sided;4;5;Yes;0.0441133975982666;5;2;1248;2161;0.5775104118463674;18000;12011;729;23;1744;456;501
5_ Our min len JW one sided;5;1;Yes;0.033226966857910156;3;1;436;1109;0.3931469792605951;14762;12011;729;23;1186;332;563
5_ Our min len JW one sided;5;2;Yes;0.03333616256713867;3;1;450;1148;0.39198606271777003;14995;12011;729;23;1186;332;563
5_ Our min len JW one sided;5;3;Yes;0.04255032539367676;5;3;533;1343;0.39687267311988084;16030;12011;729;23;1186;332;563
