Heuristic;Sudoku #;Seed;Solution Found;Runtime;# Splits;# Backtracks;# Positive assignments;# Negative assignments;Positive to negative assignments ratio;# Clauses learned;# Clauses at start;# Variables at start;# Initial filled;# Clauses before loop ;# Variables before loop;# Variables assigned before loop
6_ Our min len JW two sided;1;1;Yes;0.17698240280151367;42;41;6609;9099;0.7263435542367294;38217;12010;729;22;1952;472;493
6_ Our min len JW two sided;1;2;Yes;0.16570234298706055;51;49;8191;10946;0.7483098848894574;41618;12010;729;22;1952;472;493
6_ Our min len JW two sided;1;3;Yes;0.04453873634338379;2;0;547;1233;0.44363341443633414;14807;12010;729;22;1952;472;493
6_ Our min len JW two sided;1;4;Yes;0.03367352485656738;1;0;317;1002;0.31636726546906185;14781;12010;729;22;1952;472;493
6_ Our min len JW two sided;1;5;Yes;0.13545751571655273;43;41;6664;9331;0.714178544636159;40098;12010;729;22;1952;472;493
6_ Our min len JW two sided;2;1;Yes;0.06382274627685547;11;7;1805;2882;0.6263011797362943;20057;12011;729;23;1692;410;524
6_ Our min len JW two sided;2;2;Yes;0.05117321014404297;11;5;1509;2472;0.6104368932038835;17863;12011;729;23;1692;410;524
6_ Our min len JW two sided;2;3;Yes;0.04938220977783203;9;4;1400;2325;0.6021505376344086;17792;12011;729;23;1692;410;524
6_ Our min len JW two sided;2;4;Yes;0.05359005928039551;10;5;1649;2645;0.6234404536862004;18873;12011;729;23;1692;410;524
6_ Our min len JW two sided;2;5;Yes;0.05599713325500488;11;5;1470;2404;0.6114808652246256;17617;12011;729;23;1692;410;524
6_ Our min len JW two sided;3;1;Yes;0.08694577217102051;19;17;3398;5022;0.6766228594185584;27969;12010;729;22;1596;410;524
6_ Our min len JW two sided;3;2;Yes;0.09671878814697266;17;16;3021;4530;0.666887417218543;26284;12010;729;22;1596;410;524
6_ Our min len JW two sided;3;3;Yes;0.08315038681030273;16;14;2868;4329;0.6625086625086625;25499;12010;729;22;1596;410;524
6_ Our min len JW two sided;3;4;Yes;0.043465375900268555;6;3;1061;1891;0.5610787942887361;16793;12010;729;22;1596;410;524
6_ Our min len JW two sided;3;5;Yes;0.03922390937805176;4;2;792;1547;0.5119586296056884;15940;12010;729;22;1596;410;524
6_ Our min len JW two sided;4;1;Yes;0.04744458198547363;6;2;1396;2209;0.6319601629696695;16500;12011;729;23;1744;456;501
6_ Our min len JW two sided;4;2;Yes;0.06966400146484375;9;5;2078;3245;0.6403697996918336;21177;12011;729;23;1744;456;501
6_ Our min len JW two sided;4;3;Yes;0.0936129093170166;18;13;4079;5954;0.6850856567013772;30636;12011;729;23;1744;456;501
6_ Our min len JW two sided;4;4;Yes;0.06751561164855957;10;5;2232;3327;0.6708746618575293;20187;12011;729;23;1744;456;501
6_ Our min len JW two sided;4;5;Yes;0.05747342109680176;9;6;2046;3182;0.6429918290383406;20762;12011;729;23;1744;456;501
6_ Our min len JW two sided;5;1;Yes;0.03614330291748047;5;4;574;1398;0.4105865522174535;16254;12011;729;23;1186;332;563
6_ Our min len JW two sided;5;2;Yes;0.03430032730102539;4;0;473;1144;0.41346153846153844;14703;12011;729;23;1186;332;563
6_ Our min len JW two sided;5;3;Yes;0.04960989952087402;10;9;1388;2367;0.5863962822137727;18568;12011;729;23;1186;332;563
6_ Our min len JW two sided;5;4;Yes;0.06343388557434082;15;14;1909;3164;0.6033501896333755;21734;12011;729;23;1186;332;563
6_ Our min len JW two sided;5;5;Yes;0.03632688522338867;4;3;524;1363;0.384446074834923;16272;12011;729;23;1186;332;563
6_ Our min len JW two sided;6;1;Yes;0.0771183967590332;17;14;3241;4943;0.6556746914829051;27075;12011;729;23;1643;442;508
