Heuristic;Sudoku #;Seed;Solution Found;Runtime;# Splits;# Backtracks;# Positive assignments;# Negative assignments;Positive to negative assignments ratio;# Clauses learned;# Clauses at start;# Variables at start;# Initial filled;# Clauses before loop ;# Variables before loop;# Variables assigned before loop
6_ Our min len JW two sided;1;1;Yes;0.08596587181091309;8;6;1145;2033;0.5632070831283817;17357;12010;729;22;1952;472;493
6_ Our min len JW two sided;1;2;Yes;0.10392570495605469;18;17;2865;4396;0.6517288444040037;25613;12010;729;22;1952;472;493
6_ Our min len JW two sided;1;3;Yes;0.08611154556274414;17;14;2846;4239;0.6713847605567351;23996;12010;729;22;1952;472;493
6_ Our min len JW two sided;1;4;Yes;0.038498640060424805;1;1;320;1023;0.3128054740957967;15032;12010;729;22;1952;472;493
6_ Our min len JW two sided;1;5;Yes;0.05116558074951172;5;2;810;1549;0.5229180116204003;15642;12010;729;22;1952;472;493
6_ Our min len JW two sided;2;1;Yes;0.05669140815734863;8;3;1249;2053;0.60837798343887;16350;12011;729;23;1692;410;524
6_ Our min len JW two sided;2;2;Yes;0.07817769050598145;12;11;1918;3063;0.6261834802481228;20959;12011;729;23;1692;410;524
6_ Our min len JW two sided;2;3;Yes;0.06638503074645996;10;7;1629;2678;0.6082897684839432;19637;12011;729;23;1692;410;524
6_ Our min len JW two sided;2;4;Yes;0.06826376914978027;11;10;1882;3050;0.6170491803278688;21242;12011;729;23;1692;410;524
6_ Our min len JW two sided;2;5;Yes;0.0707244873046875;10;6;1624;2604;0.6236559139784946;18746;12011;729;23;1692;410;524
6_ Our min len JW two sided;3;1;Yes;0.04744124412536621;4;2;767;1601;0.4790755777638976;16661;12010;729;22;1596;410;524
6_ Our min len JW two sided;3;2;Yes;0.046939849853515625;4;3;790;1682;0.469678953626635;17383;12010;729;22;1596;410;524
6_ Our min len JW two sided;3;3;Yes;0.04908180236816406;4;2;767;1601;0.4790755777638976;16661;12010;729;22;1596;410;524
6_ Our min len JW two sided;3;4;Yes;0.09030294418334961;14;12;2646;4066;0.6507624200688638;25452;12010;729;22;1596;410;524
6_ Our min len JW two sided;3;5;Yes;0.09506106376647949;18;15;3145;4612;0.6819167389418908;26124;12010;729;22;1596;410;524
6_ Our min len JW two sided;4;1;Yes;0.09719586372375488;14;13;3319;5194;0.6390065460146322;30819;12011;729;23;1744;456;501
6_ Our min len JW two sided;4;2;Yes;0.10113716125488281;10;9;2410;3899;0.6181072069761477;25871;12011;729;23;1744;456;501
6_ Our min len JW two sided;4;3;Yes;0.06579041481018066;8;4;1814;2803;0.6471637531216554;18972;12011;729;23;1744;456;501
6_ Our min len JW two sided;4;4;Yes;0.08288931846618652;10;10;2505;4281;0.5851436580238262;29177;12011;729;23;1744;456;501
6_ Our min len JW two sided;4;5;Yes;0.11812353134155273;15;14;3503;5472;0.6401681286549707;31878;12011;729;23;1744;456;501
6_ Our min len JW two sided;5;1;Yes;0.0408170223236084;3;0;427;1098;0.3888888888888889;14701;12011;729;23;1186;332;563
6_ Our min len JW two sided;5;2;Yes;0.04266953468322754;4;2;503;1281;0.39266198282591724;15944;12011;729;23;1186;332;563
6_ Our min len JW two sided;5;3;Yes;0.06389641761779785;11;10;1432;2514;0.569610182975338;19551;12011;729;23;1186;332;563
6_ Our min len JW two sided;5;4;Yes;0.07254457473754883;17;16;2100;3371;0.6229605458320973;21602;12011;729;23;1186;332;563
6_ Our min len JW two sided;5;5;Yes;0.04722285270690918;4;1;498;1206;0.4129353233830846;15040;12011;729;23;1186;332;563
6_ Our min len JW two sided;6;1;Yes;0.07246541976928711;10;6;2058;3187;0.6457483526827738;20322;12011;729;23;1643;442;508
6_ Our min len JW two sided;6;2;Yes;0.09197473526000977;14;13;2762;4360;0.6334862385321101;26363;12011;729;23;1643;442;508
6_ Our min len JW two sided;6;3;Yes;0.11069917678833008;16;11;3087;4496;0.6866103202846975;23969;12011;729;23;1643;442;508
6_ Our min len JW two sided;6;4;Yes;0.07320332527160645;10;7;2028;3244;0.625154130702836;21511;12011;729;23;1643;442;508
6_ Our min len JW two sided;6;5;Yes;0.0607755184173584;6;5;1356;2502;0.5419664268585132;20606;12011;729;23;1643;442;508
6_ Our min len JW two sided;7;1;Yes;0.05923652648925781;6;4;1175;2162;0.5434782608695652;18524;12012;729;24;1503;408;525
6_ Our min len JW two sided;7;2;Yes;0.06291842460632324;6;3;1098;2022;0.543026706231454;17600;12012;729;24;1503;408;525
6_ Our min len JW two sided;7;3;Yes;0.05646395683288574;5;2;986;1874;0.5261472785485592;17320;12012;729;24;1503;408;525
6_ Our min len JW two sided;7;4;Yes;0.0831918716430664;6;4;1145;2183;0.5245075584058635;18804;12012;729;24;1503;408;525
6_ Our min len JW two sided;7;5;Yes;0.07719659805297852;6;3;1111;2061;0.5390587093643863;17790;12012;729;24;1503;408;525
6_ Our min len JW two sided;8;1;Yes;0.16575360298156738;29;27;5158;7234;0.7130218413049488;32914;12011;729;23;1553;410;524
6_ Our min len JW two sided;8;2;Yes;0.1182088851928711;17;15;3158;4737;0.6666666666666666;26466;12011;729;23;1553;410;524
6_ Our min len JW two sided;8;3;Yes;0.13490033149719238;29;29;5213;7492;0.6958088627869727;35323;12011;729;23;1553;410;524
