Heuristic;Sudoku #;Seed;Solution Found;Runtime;# Splits;# Backtracks;# Positive assignments;# Negative assignments;Positive to negative assignments ratio;# Clauses learned;# Clauses at start;# Variables at start;# Initial filled;# Clauses before loop ;# Variables before loop;# Variables assigned before loop
8_ Our min len probabilistic JW two sided;1;1;Yes;0.7403626441955566;276;270;38768;50236;0.7717174934310057;153566;12005;729;17;2371;542;458
8_ Our min len probabilistic JW two sided;1;2;Yes;0.07808661460876465;15;7;2975;3939;0.7552678344757553;18822;12005;729;17;2371;542;458
8_ Our min len probabilistic JW two sided;1;3;Yes;0.7824854850769043;310;307;43155;54539;0.7912686334549588;153888;12005;729;17;2371;542;458
8_ Our min len probabilistic JW two sided;1;4;Yes;0.6859374046325684;291;287;37673;48423;0.7779980587737232;137965;12005;729;17;2371;542;458
8_ Our min len probabilistic JW two sided;1;5;Yes;0.5339748859405518;201;195;28688;36627;0.7832473312037568;109268;12005;729;17;2371;542;458
8_ Our min len probabilistic JW two sided;2;1;Yes;0.8949809074401855;323;321;48654;61096;0.7963532800838026;169228;12005;729;17;2489;552;453
8_ Our min len probabilistic JW two sided;2;2;Yes;1.001159429550171;388;381;55285;69064;0.800489401135179;187175;12005;729;17;2489;552;453
8_ Our min len probabilistic JW two sided;2;3;Yes;0.6793105602264404;256;249;37096;47045;0.7885216282282921;133757;12005;729;17;2489;552;453
8_ Our min len probabilistic JW two sided;2;4;Yes;0.5687103271484375;213;204;30623;38859;0.788054247407293;111177;12005;729;17;2489;552;453
8_ Our min len probabilistic JW two sided;2;5;Yes;0.329334020614624;117;110;16635;21460;0.7751630941286114;68880;12005;729;17;2489;552;453
8_ Our min len probabilistic JW two sided;3;1;Yes;0.30883002281188965;111;107;16184;21123;0.7661790465369502;68963;12005;729;17;2410;546;456
8_ Our min len probabilistic JW two sided;3;2;Yes;0.971893310546875;357;353;52212;67209;0.7768602419318841;204091;12005;729;17;2410;546;456
8_ Our min len probabilistic JW two sided;3;3;Yes;0.5100400447845459;189;184;27773;35822;0.775305678074926;110702;12005;729;17;2410;546;456
