Heuristic;Sudoku #;Seed;Solution Found;Runtime;# Splits;# Backtracks;# Positive assignments;# Negative assignments;Positive to negative assignments ratio;# Clauses learned;# Clauses at start;# Variables at start;# Initial filled;# Clauses before loop ;# Variables before loop;# Variables assigned before loop
6_ Our min len JW two sided;1;1;Yes;0.4820375442504883;191;182;28108;36045;0.7798030239977806;108471;12005;729;17;2371;542;458
6_ Our min len JW two sided;1;2;Yes;0.3911445140838623;160;154;23112;29463;0.7844415029019448;87848;12005;729;17;2371;542;458
6_ Our min len JW two sided;1;3;Yes;0.506350040435791;255;252;32439;41645;0.7789410493456598;117791;12005;729;17;2371;542;458
6_ Our min len JW two sided;1;4;Yes;0.6980760097503662;350;343;45385;57512;0.7891396578105438;155336;12005;729;17;2371;542;458
6_ Our min len JW two sided;1;5;Yes;0.48622989654541016;201;196;29185;37809;0.7719061599090163;117416;12005;729;17;2371;542;458
6_ Our min len JW two sided;2;1;Yes;0.46541357040405273;203;194;28113;35626;0.7891146915174311;99879;12005;729;17;2489;552;453
6_ Our min len JW two sided;2;2;Yes;0.5539929866790771;223;215;33947;42692;0.7951606858427809;119367;12005;729;17;2489;552;453
6_ Our min len JW two sided;2;3;Yes;0.8263039588928223;371;367;52768;66930;0.7884057971014493;188245;12005;729;17;2489;552;453
6_ Our min len JW two sided;2;4;Yes;0.5917954444885254;218;212;31906;40682;0.7842780590924733;119076;12005;729;17;2489;552;453
6_ Our min len JW two sided;2;5;Yes;0.5532698631286621;233;225;33940;42219;0.8039034557900472;112304;12005;729;17;2489;552;453
6_ Our min len JW two sided;3;1;Yes;0.6103122234344482;265;262;37978;49062;0.774081774081774;149235;12005;729;17;2410;546;456
6_ Our min len JW two sided;3;2;Yes;0.3993339538574219;160;153;23646;30132;0.7847471127041019;90438;12005;729;17;2410;546;456
6_ Our min len JW two sided;3;3;Yes;0.37928128242492676;145;141;21753;28465;0.7642016511505357;92521;12005;729;17;2410;546;456
6_ Our min len JW two sided;3;4;Yes;0.3645317554473877;137;134;20914;27401;0.7632568154446918;90912;12005;729;17;2410;546;456
6_ Our min len JW two sided;3;5;Yes;0.5665044784545898;246;243;34990;45440;0.7700264084507042;140135;12005;729;17;2410;546;456
6_ Our min len JW two sided;4;1;Yes;0.10633277893066406;20;10;4291;5773;0.7432877186904556;25038;12005;729;17;2531;564;447
6_ Our min len JW two sided;4;2;Yes;0.06424355506896973;10;3;2199;3002;0.7325116588940707;16111;12005;729;17;2531;564;447
6_ Our min len JW two sided;4;3;Yes;0.07427835464477539;12;4;2621;3360;0.7800595238095238;15530;12005;729;17;2531;564;447
6_ Our min len JW two sided;4;4;Yes;0.0784308910369873;13;3;2973;3742;0.7944949225013361;16119;12005;729;17;2531;564;447
6_ Our min len JW two sided;4;5;Yes;0.0625460147857666;10;4;2203;3118;0.7065426555484284;17487;12005;729;17;2531;564;447
6_ Our min len JW two sided;5;1;Yes;0.05587029457092285;8;5;1292;2072;0.6235521235521235;15886;12005;729;17;2489;568;445
6_ Our min len JW two sided;5;2;Yes;0.2295212745666504;75;72;11791;16240;0.7260467980295566;60936;12005;729;17;2489;568;445
6_ Our min len JW two sided;5;3;Yes;0.13812518119812012;29;25;6018;7790;0.7725288831835687;31083;12005;729;17;2489;568;445
6_ Our min len JW two sided;5;4;Yes;0.10060811042785645;16;11;3704;5193;0.7132678605815521;27342;12005;729;17;2489;568;445
6_ Our min len JW two sided;5;5;Yes;0.10235118865966797;21;18;4644;6113;0.7596924586945853;26757;12005;729;17;2489;568;445
6_ Our min len JW two sided;6;1;Yes;0.6226415634155273;211;207;36715;44679;0.8217507106246783;118990;12005;729;17;2267;524;467
6_ Our min len JW two sided;6;2;Yes;0.594186544418335;206;201;35458;43899;0.8077177156655049;123588;12005;729;17;2267;524;467
6_ Our min len JW two sided;6;3;Yes;0.7785534858703613;275;274;48248;58546;0.82410412325351;150898;12005;729;17;2267;524;467
6_ Our min len JW two sided;6;4;Yes;0.8418455123901367;306;306;50479;62016;0.8139673632610939;167931;12005;729;17;2267;524;467
6_ Our min len JW two sided;6;5;Yes;0.6680908203125;233;233;41064;50500;0.8131485148514851;139471;12005;729;17;2267;524;467
6_ Our min len JW two sided;7;1;Yes;0.12959051132202148;36;28;5832;7754;0.7521279339695641;30878;12005;729;17;2129;502;478
6_ Our min len JW two sided;7;2;Yes;0.16065239906311035;38;30;6762;9028;0.7490031014621179;36182;12005;729;17;2129;502;478
6_ Our min len JW two sided;7;3;Yes;0.08031105995178223;12;4;2500;3361;0.7438262421898244;17310;12005;729;17;2129;502;478
6_ Our min len JW two sided;7;4;Yes;0.0886235237121582;20;12;3596;4819;0.7462129072421664;21482;12005;729;17;2129;502;478
6_ Our min len JW two sided;7;5;Yes;0.08416223526000977;21;14;3827;5222;0.7328609728073535;24040;12005;729;17;2129;502;478
6_ Our min len JW two sided;8;1;Yes;0.13786053657531738;28;25;5812;7570;0.7677675033025099;29677;12005;729;17;2428;556;451
6_ Our min len JW two sided;8;2;Yes;0.06992173194885254;9;4;2379;3550;0.6701408450704225;21742;12005;729;17;2428;556;451
6_ Our min len JW two sided;8;3;Yes;0.08953690528869629;15;10;3573;4608;0.775390625;19575;12005;729;17;2428;556;451
6_ Our min len JW two sided;8;4;Yes;0.10113859176635742;12;6;2760;3834;0.7198748043818466;20360;12005;729;17;2428;556;451
6_ Our min len JW two sided;8;5;Yes;0.16725444793701172;39;35;7816;9926;0.7874269595003023;33845;12005;729;17;2428;556;451
6_ Our min len JW two sided;9;1;Yes;0.0750579833984375;12;4;2318;3175;0.7300787401574803;17118;12005;729;17;2130;502;478
6_ Our min len JW two sided;9;2;Yes;0.07158303260803223;12;5;2349;3276;0.717032967032967;17850;12005;729;17;2130;502;478
6_ Our min len JW two sided;9;3;Yes;0.06432414054870605;7;0;1633;2311;0.7066205106014712;14764;12005;729;17;2130;502;478
6_ Our min len JW two sided;9;4;Yes;0.07714319229125977;8;0;1808;2475;0.7305050505050505;14725;12005;729;17;2130;502;478
6_ Our min len JW two sided;9;5;Yes;0.05943799018859863;7;0;1639;2317;0.7073802330599913;14764;12005;729;17;2130;502;478
6_ Our min len JW two sided;10;1;Yes;0.12332820892333984;21;17;4340;5815;0.7463456577815993;25131;12005;729;17;2459;560;449
6_ Our min len JW two sided;10;2;Yes;0.20557689666748047;55;54;10548;13535;0.7793128925009235;45718;12005;729;17;2459;560;449
6_ Our min len JW two sided;10;3;Yes;0.0757436752319336;13;11;2800;3876;0.7223942208462333;19956;12005;729;17;2459;560;449
6_ Our min len JW two sided;10;4;Yes;0.07066869735717773;13;7;2687;3514;0.7646556630620376;16902;12005;729;17;2459;560;449
6_ Our min len JW two sided;10;5;Yes;0.13730978965759277;31;27;6609;8447;0.7824079554871552;31128;12005;729;17;2459;560;449
6_ Our min len JW two sided;11;1;Yes;0.20540237426757812;77;70;11327;15264;0.7420728511530398;57950;12005;729;17;1915;458;500
6_ Our min len JW two sided;11;2;Yes;0.10304975509643555;36;32;5315;7411;0.7171771690729996;33611;12005;729;17;1915;458;500
6_ Our min len JW two sided;11;3;Yes;0.1714015007019043;61;57;9126;12651;0.7213658999288594;51984;12005;729;17;1915;458;500
6_ Our min len JW two sided;11;4;Yes;0.12775373458862305;41;38;6184;8481;0.7291592972526825;36471;12005;729;17;1915;458;500
6_ Our min len JW two sided;11;5;Yes;0.14531803131103516;51;47;7990;10993;0.7268261621031565;46093;12005;729;17;1915;458;500
6_ Our min len JW two sided;12;1;Yes;0.14302825927734375;48;44;7408;10630;0.69689557855127;46409;12013;729;25;1589;416;521
6_ Our min len JW two sided;12;2;Yes;0.0648965835571289;13;9;2389;3556;0.671822272215973;21744;12013;729;25;1589;416;521
6_ Our min len JW two sided;12;3;Yes;0.1626741886138916;55;52;8532;12329;0.6920269283802417;53586;12013;729;25;1589;416;521
6_ Our min len JW two sided;12;4;Yes;0.18683409690856934;66;63;10422;14521;0.7177191653467392;59137;12013;729;25;1589;416;521
6_ Our min len JW two sided;12;5;Yes;0.15376853942871094;52;47;7898;11304;0.698690728945506;48933;12013;729;25;1589;416;521
6_ Our min len JW two sided;13;1;Yes;0.06502103805541992;15;13;2477;3772;0.6566808059384942;22102;12009;729;21;1879;478;490
6_ Our min len JW two sided;13;2;Yes;0.06795263290405273;16;14;2733;4091;0.6680518210706429;23298;12009;729;21;1879;478;490
6_ Our min len JW two sided;13;3;Yes;0.08979415893554688;22;21;3583;5346;0.6702207257762813;28027;12009;729;21;1879;478;490
