Heuristic;Sudoku #;Seed;Solution Found;Runtime;# Splits;# Backtracks;# Positive assignments;# Negative assignments;Positive to negative assignments ratio;# Clauses learned;# Clauses at start;# Variables at start;# Initial filled;# Clauses before loop ;# Variables before loop;# Variables assigned before loop
3_ VSIDS;1;1;Yes;0.613469123840332;145;126;23153;27230;0.8502754315093647;81171;12005;729;17;2065;486;486
3_ VSIDS;1;2;Yes;0.5845625400543213;147;136;23208;27462;0.8450950404194888;82948;12005;729;17;2065;486;486
3_ VSIDS;1;3;Yes;0.6170659065246582;155;150;25023;29502;0.8481797844213952;86252;12005;729;17;2065;486;486
3_ VSIDS;2;1;Yes;0.18199801445007324;9;6;1986;2968;0.6691374663072777;27456;12005;729;17;1803;438;510
3_ VSIDS;2;2;Yes;0.16942310333251953;9;6;1986;2968;0.6691374663072777;27456;12005;729;17;1803;438;510
3_ VSIDS;2;3;Yes;0.16506695747375488;9;6;1986;2968;0.6691374663072777;27456;12005;729;17;1803;438;510
3_ VSIDS;3;1;Yes;0.46392297744750977;112;100;17800;20847;0.8538398810380391;63002;12005;729;17;2322;522;468
3_ VSIDS;3;2;Yes;0.4488215446472168;112;100;17800;20847;0.8538398810380391;63002;12005;729;17;2322;522;468
3_ VSIDS;3;3;Yes;0.6729662418365479;168;164;27138;31786;0.8537721009249355;92851;12005;729;17;2322;522;468
3_ VSIDS;4;1;Yes;0.3438072204589844;67;56;11577;13735;0.8428831452493629;48797;12005;729;17;2309;520;469
3_ VSIDS;4;2;Yes;0.3421447277069092;68;57;11674;13832;0.8439849624060151;48797;12005;729;17;2309;520;469
3_ VSIDS;4;3;Yes;0.3392026424407959;67;56;11578;13736;0.8428945835760047;48797;12005;729;17;2309;520;469
3_ VSIDS;5;1;Yes;0.12712931632995605;1;0;333;1025;0.3248780487804878;21574;12005;729;17;2157;504;477
3_ VSIDS;5;2;Yes;0.12496352195739746;1;0;333;1025;0.3248780487804878;21574;12005;729;17;2157;504;477
