Heuristic;Sudoku #;Seed;Solution Found;Runtime;# Splits;# Backtracks;# Positive assignments;# Negative assignments;Positive to negative assignments ratio;# Clauses learned;# Clauses at start;# Variables at start;# Initial filled;# Clauses before loop ;# Variables before loop;# Variables assigned before loop
8_ Our min len probabilistic JW two sided;1;1;Yes;0.11157631874084473;20;18;3586;5091;0.7043802789235907;26072;12010;729;22;1952;472;493
8_ Our min len probabilistic JW two sided;1;2;Yes;0.15668201446533203;45;44;7136;9575;0.7452741514360314;37242;12010;729;22;1952;472;493
8_ Our min len probabilistic JW two sided;1;3;Yes;0.15858054161071777;42;40;6716;9090;0.7388338833883389;36825;12010;729;22;1952;472;493
8_ Our min len probabilistic JW two sided;1;4;Yes;0.18826889991760254;57;56;8769;11866;0.7390021911343334;45729;12010;729;22;1952;472;493
8_ Our min len probabilistic JW two sided;1;5;Yes;0.24987196922302246;90;89;12699;16785;0.7565683646112601;57348;12010;729;22;1952;472;493
8_ Our min len probabilistic JW two sided;2;1;Yes;0.0565798282623291;11;4;1678;2578;0.6508921644685803;17626;12011;729;23;1692;410;524
8_ Our min len probabilistic JW two sided;2;2;Yes;0.06130337715148926;12;10;1899;3000;0.633;20201;12011;729;23;1692;410;524
8_ Our min len probabilistic JW two sided;2;3;Yes;0.06560158729553223;14;13;2044;3333;0.6132613261326133;22665;12011;729;23;1692;410;524
8_ Our min len probabilistic JW two sided;2;4;Yes;0.061495304107666016;7;2;1156;1898;0.6090621707060063;15724;12011;729;23;1692;410;524
8_ Our min len probabilistic JW two sided;2;5;Yes;0.04744982719421387;7;2;1123;1858;0.6044133476856836;15625;12011;729;23;1692;410;524
8_ Our min len probabilistic JW two sided;3;1;Yes;0.04497981071472168;5;3;941;1776;0.5298423423423423;16708;12010;729;22;1596;410;524
8_ Our min len probabilistic JW two sided;3;2;Yes;0.04203939437866211;4;2;823;1554;0.5296010296010296;15573;12010;729;22;1596;410;524
8_ Our min len probabilistic JW two sided;3;3;Yes;0.08197164535522461;13;11;2397;3706;0.6467889908256881;23579;12010;729;22;1596;410;524
8_ Our min len probabilistic JW two sided;3;4;Yes;0.04225468635559082;3;0;600;1262;0.4754358161648177;14704;12010;729;22;1596;410;524
8_ Our min len probabilistic JW two sided;3;5;Yes;0.09541058540344238;19;17;3460;5016;0.689792663476874;27603;12010;729;22;1596;410;524
8_ Our min len probabilistic JW two sided;4;1;Yes;0.09611201286315918;15;10;3355;4938;0.6794248683677603;26736;12011;729;23;1744;456;501
8_ Our min len probabilistic JW two sided;4;2;Yes;0.06885313987731934;12;7;2469;3610;0.6839335180055401;20832;12011;729;23;1744;456;501
8_ Our min len probabilistic JW two sided;4;3;Yes;0.09018421173095703;14;11;3224;4865;0.6626927029804728;27614;12011;729;23;1744;456;501
8_ Our min len probabilistic JW two sided;4;4;Yes;0.08663678169250488;13;9;2973;4372;0.6800091491308325;24592;12011;729;23;1744;456;501
8_ Our min len probabilistic JW two sided;4;5;Yes;0.04234933853149414;4;0;936;1610;0.5813664596273292;14734;12011;729;23;1744;456;501
8_ Our min len probabilistic JW two sided;5;1;Yes;0.04326987266540527;6;4;665;1471;0.4520734194425561;16028;12011;729;23;1186;332;563
8_ Our min len probabilistic JW two sided;5;2;Yes;0.03754115104675293;4;3;522;1341;0.38926174496644295;16212;12011;729;23;1186;332;563
8_ Our min len probabilistic JW two sided;5;3;Yes;0.07322835922241211;23;23;2352;3910;0.6015345268542199;24768;12011;729;23;1186;332;563
8_ Our min len probabilistic JW two sided;5;4;Yes;0.07564282417297363;22;21;2476;4115;0.6017010935601458;25319;12011;729;23;1186;332;563
8_ Our min len probabilistic JW two sided;5;5;Yes;0.03750252723693848;4;3;522;1357;0.3846720707442889;16256;12011;729;23;1186;332;563
8_ Our min len probabilistic JW two sided;6;1;Yes;0.07085990905761719;13;9;2521;3732;0.6755091103965702;21668;12011;729;23;1643;442;508
8_ Our min len probabilistic JW two sided;6;2;Yes;0.08096981048583984;16;11;2838;4066;0.6979832759468766;21640;12011;729;23;1643;442;508
8_ Our min len probabilistic JW two sided;6;3;Yes;0.08922433853149414;15;12;3021;4634;0.6519205869659042;26622;12011;729;23;1643;442;508
8_ Our min len probabilistic JW two sided;6;4;Yes;0.1101076602935791;21;19;4018;6055;0.6635838150289017;31771;12011;729;23;1643;442;508
8_ Our min len probabilistic JW two sided;6;5;Yes;0.12500739097595215;32;29;5709;8096;0.7051630434782609;36391;12011;729;23;1643;442;508
8_ Our min len probabilistic JW two sided;7;1;Yes;0.07200074195861816;17;13;2724;4171;0.6530807959721889;24186;12012;729;24;1503;408;525
8_ Our min len probabilistic JW two sided;7;2;Yes;0.07581806182861328;14;12;2441;3940;0.6195431472081219;25153;12012;729;24;1503;408;525
8_ Our min len probabilistic JW two sided;7;3;Yes;0.041708946228027344;4;2;857;1697;0.5050088391278728;16740;12012;729;24;1503;408;525
8_ Our min len probabilistic JW two sided;7;4;Yes;0.08015584945678711;16;13;2642;4054;0.6517020226936359;24106;12012;729;24;1503;408;525
8_ Our min len probabilistic JW two sided;7;5;Yes;0.06748843193054199;13;11;2289;3811;0.6006297559695618;24852;12012;729;24;1503;408;525
8_ Our min len probabilistic JW two sided;8;1;Yes;0.107421875;25;20;4547;6368;0.7140389447236181;29887;12011;729;23;1553;410;524
8_ Our min len probabilistic JW two sided;8;2;Yes;0.06067156791687012;11;4;2060;3030;0.6798679867986799;18658;12011;729;23;1553;410;524
8_ Our min len probabilistic JW two sided;8;3;Yes;0.09243464469909668;16;13;3027;4434;0.6826792963464141;24210;12011;729;23;1553;410;524
8_ Our min len probabilistic JW two sided;8;4;Yes;0.11570024490356445;30;24;5251;7264;0.7228799559471366;32155;12011;729;23;1553;410;524
8_ Our min len probabilistic JW two sided;8;5;Yes;0.08890557289123535;16;10;2964;4216;0.7030360531309298;22289;12011;729;23;1553;410;524
8_ Our min len probabilistic JW two sided;9;1;Yes;0.04228377342224121;6;0;954;1618;0.5896168108776267;14706;12012;729;24;1271;360;549
8_ Our min len probabilistic JW two sided;9;2;Yes;0.041347503662109375;5;0;868;1536;0.5651041666666666;14709;12012;729;24;1271;360;549
8_ Our min len probabilistic JW two sided;9;3;Yes;0.0672001838684082;22;20;2419;3910;0.6186700767263427;23501;12012;729;24;1271;360;549
8_ Our min len probabilistic JW two sided;9;4;Yes;0.03651118278503418;3;0;544;1215;0.4477366255144033;14720;12012;729;24;1271;360;549
8_ Our min len probabilistic JW two sided;9;5;Yes;0.07399296760559082;18;16;2190;3561;0.6149957877000842;22401;12012;729;24;1271;360;549
8_ Our min len probabilistic JW two sided;10;1;Yes;0.09529948234558105;25;18;3853;5406;0.7127266000739919;26919;12012;729;24;1687;432;513
8_ Our min len probabilistic JW two sided;10;2;Yes;0.10689878463745117;22;19;3626;5000;0.7252;24947;12012;729;24;1687;432;513
8_ Our min len probabilistic JW two sided;10;3;Yes;0.10354375839233398;25;18;4190;5959;0.7031381104212117;29135;12012;729;24;1687;432;513
8_ Our min len probabilistic JW two sided;10;4;Yes;0.04174542427062988;3;1;753;1571;0.47931253978357735;16608;12012;729;24;1687;432;513
8_ Our min len probabilistic JW two sided;10;5;Yes;0.1258866786956787;35;29;5320;7203;0.738581146744412;31327;12012;729;24;1687;432;513
8_ Our min len probabilistic JW two sided;11;1;Yes;0.0418550968170166;3;1;752;1529;0.4918247220405494;16058;12011;729;23;1880;464;497
8_ Our min len probabilistic JW two sided;11;2;Yes;0.05236196517944336;5;3;1237;2261;0.5471030517470146;19459;12011;729;23;1880;464;497
8_ Our min len probabilistic JW two sided;11;3;Yes;0.0530240535736084;6;3;1385;2295;0.6034858387799564;18003;12011;729;23;1880;464;497
8_ Our min len probabilistic JW two sided;11;4;Yes;0.0705103874206543;5;4;1206;2210;0.5457013574660633;19337;12011;729;23;1880;464;497
8_ Our min len probabilistic JW two sided;11;5;Yes;0.058248281478881836;6;4;1447;2510;0.5764940239043824;20211;12011;729;23;1880;464;497
8_ Our min len probabilistic JW two sided;12;1;Yes;0.10164999961853027;24;24;4134;6124;0.6750489875898106;32502;12010;729;22;1575;416;521
8_ Our min len probabilistic JW two sided;12;2;Yes;0.08864259719848633;19;16;3283;4725;0.6948148148148148;24855;12010;729;22;1575;416;521
8_ Our min len probabilistic JW two sided;12;3;Yes;0.09334087371826172;20;20;3574;5060;0.7063241106719368;26153;12010;729;22;1575;416;521
8_ Our min len probabilistic JW two sided;12;4;Yes;0.10727739334106445;24;23;4069;5765;0.7058109280138768;28405;12010;729;22;1575;416;521
8_ Our min len probabilistic JW two sided;12;5;Yes;0.11846232414245605;28;27;4793;6740;0.7111275964391691;31974;12010;729;22;1575;416;521
8_ Our min len probabilistic JW two sided;13;1;Yes;0.07345986366271973;16;16;2564;4118;0.6226323457989316;25703;12013;729;25;1490;402;528
8_ Our min len probabilistic JW two sided;13;2;Yes;0.07518577575683594;14;12;2436;3865;0.6302716688227684;24288;12013;729;25;1490;402;528
8_ Our min len probabilistic JW two sided;13;3;Yes;0.09408354759216309;21;21;3388;5073;0.6678493987778434;27815;12013;729;25;1490;402;528
8_ Our min len probabilistic JW two sided;13;4;Yes;0.08472371101379395;19;19;3276;5089;0.6437414030261348;28954;12013;729;25;1490;402;528
8_ Our min len probabilistic JW two sided;13;5;Yes;0.08971738815307617;11;10;1919;3249;0.5906432748538012;23098;12013;729;25;1490;402;528
8_ Our min len probabilistic JW two sided;14;1;Yes;0.05885481834411621;11;7;1838;2916;0.630315500685871;20070;12012;729;24;1530;410;524
8_ Our min len probabilistic JW two sided;14;2;Yes;0.06826019287109375;16;13;2389;3660;0.6527322404371585;22382;12012;729;24;1530;410;524
8_ Our min len probabilistic JW two sided;14;3;Yes;0.07689857482910156;11;8;2169;3345;0.6484304932735426;21625;12012;729;24;1530;410;524
8_ Our min len probabilistic JW two sided;14;4;Yes;0.05340433120727539;9;4;1480;2293;0.6454426515481901;16795;12012;729;24;1530;410;524
8_ Our min len probabilistic JW two sided;14;5;Yes;0.07745051383972168;16;15;2730;4461;0.6119704102219233;27055;12012;729;24;1530;410;524
