Heuristic;Sudoku #;Seed;Solution Found;Runtime;# Splits;# Backtracks;# Positive assignments;# Negative assignments;Positive to negative assignments ratio;# Clauses learned;# Clauses at start;# Variables at start;# Initial filled;# Clauses before loop ;# Variables before loop;# Variables assigned before loop
5_ Our min len JW one sided;1;1;Yes;0.122011264;28;24;4331;6276.333333;0.690552622;31178.66667;12005;729;17;2065;486;486
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;0.055758079;8;4;1540;2431;0.626882655;17478.33333;12005;729;17;1803;438;510
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;0.042646964;1.666666667;1.666666667;486;1174.333333;0.409294978;14850.66667;12005;729;17;2322;522;468
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;0.040208022;1.666666667;1.666666667;486.3333333;1181;0.407196796;14837;12005;729;17;2309;520;469
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;0.055071592;2;1;585;1309;0.446906035;15347;12005;729;17;2157;504;477
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;0.057158868;2.666666667;2;655;1451;0.426135801;16333;12005;729;17;2270;508;475
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;0.055028598;2;1;580.3333333;1340.666667;0.418709316;15900.66667;12005;729;17;2345;524;467
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;0.05901734;3;1.666666667;683.3333333;1383;0.494098153;14942;12005;729;17;2413;542;458
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;0.060637077;7;6;1390.333333;2400.666667;0.518827281;19460.66667;12005;729;17;2344;524;467
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;0.048752308;3;2.666666667;783.6666667;1641.666667;0.473951567;17436;12005;729;17;2248;508;475
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;0.050438484;7.333333333;2.333333333;1084.333333;1819.666667;0.595613286;15370.33333;12005;729;17;2181;510;474
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;0.055375258;9;6.666666667;1607;2586.666667;0.617077659;18639;12005;729;17;2148;498;480
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;0.204063733;71.33333333;68.66666667;11466.66667;14477;0.794719321;46119;12005;729;17;2313;520;469
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;0.06162564;9;5.666666667;1780.333333;2692.666667;0.660320513;18036.33333;12005;729;17;2222;506;476
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;0.189114014;31.66666667;29.33333333;6007.333333;7984;0.754426493;33632;12005;729;17;2319;522;468
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;0.075362126;13.66666667;12;2171;3561;0.609298859;23869;12005;729;17;1276;344;557
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;0.039979617;2;1.666666667;411.3333333;1194.666667;0.344404511;16044.33333;12005;729;17;1298;346;556
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;0.039562941;3.666666667;1.666666667;573;1331;0.430812082;15549.66667;12005;729;17;1577;404;527
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;0.121686776;26.66666667;21.66666667;4882;6905;0.680874244;32910.33333;12005;729;17;2335;522;468
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
